municipio,rio,data,hora,latitude,longitude,choveu,ph,od,turbidez,temperatura,condutividade,std,fosforo,nitrogenio,salinidade,rio_original,status_ph,status_od,status_turbidez,indice_problemas,status_ph_graf,status_od_graf,status_turb_graf
SAO LUIS,RIO ITAPIRACO,2021-03-02,13:35:00,-2.52324,-44.20012,,6.02,3.12,48.35,26.8,83.9,300.0,,,0.04,RIO ITAPIRACO,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2021-03-02,09:30:00,-2.68895,-44.2105,,7.69,4.45,33.9,28.42,24650.0,14300.0,,,14.8,RIO TIBIRI,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2021-03-02,11:00:00,-2.65094,-44.21425,,7.43,3.88,171.0,28.66,24480.0,440.0,,,14.8,RIO TIBIRI,Conforme,Não Conforme,Não Conforme,2,Dentro do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO BACANGA,2020-11-24,12:35:00,-2.56614,-44.28432,,10.12,11.39,22.3,30.16,40720.0,27880.0,,,25.9,RIO BACANGA,Não Conforme,Conforme,Conforme,1,Fora do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO CALHAU,2020-11-24,16:09:00,-2.49157,-44.25905,,7.06,0.82,98.8,29.19,484.2,40.0,,,0.23,RIO CALHAU,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO ITAPIRACO,2020-11-24,17:37:00,-2.52325,-44.20012,,7.53,2.26,63.4,27.08,59.7,340.0,,,0.03,RIO ITAPIRACO,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO JAGUAREMA,2020-11-24,15:37:00,-2.47872,-44.21058,,7.52,6.17,2.6,28.3,22050.0,420.0,,,0.1,RIO JAGUAREMA,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ANIL,2020-11-23,13:28:00,-2.53225,-44.2734,,9.65,9.65,15.6,29.23,36615.0,19640.0,,,23.0,RIO ANIL,Não Conforme,Conforme,Conforme,1,Fora do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO DOS CACHORROS,2020-11-23,14:28:00,-2.667,-44.32008,,9.18,5.64,9.04,29.4,42050.0,25860.0,,,26.88,RIO DOS CACHORROS,Não Conforme,Conforme,Conforme,1,Fora do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2020-11-23,17:26:00,-2.68895,-44.21004,,8.85,5.62,11.02,28.6,41.47,26260.0,,,26.49,RIO TIBIRI,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2020-11-23,16:01:00,-2.65085,-44.21423,,8.88,5.46,36.3,29.1,40157.0,24600.0,,,25.54,RIO TIBIRI,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
